"hour","district","rev5","rev1","rev2","rev3","rev4"
"5am","611",12192.19,5619.19,19661.53,22985.27,10877.54
"5am","612",4469.69,2453.73,7857.21,7114.55,2475.14
"5am","621",3557.86,1525.25,5458.88,8699.05,3780.91
"5am","622",7819.82,4027.5,11965.85,13116.21,5565.84
"5am","623",5569.67,2752.57,11257.99,8986.27,4818.66
"5am","624",3148.63,1646.58,6132.4,4720.89,1419.2
"5am","631",5992.9,4326.56,10182.71,11370.74,3659.54
"5am","632",2004.1,1223.24,4170.19,4061.46,2373.96
"5am","633",4273.61,2569.23,8159.1,8993.56,3566.54
"5am","641",4015.74,1730.81,5572.4,5359.22,4042.43
"5am","642",4106.55,3458.39,4464.14,6763.28,3619.24
"5am","643",7389.68,2694.72,8983.21,13051.87,8116.04
"5am","644",3813.43,1417.95,6070.16,8984.64,6366.08
"5am","645",2234.83,1341.89,3889.18,3279.86,857.77
"5am","651",3857.11,3746.44,10182.09,10632.48,3774.26
"5am","661",10659.38,11065.79,14747.34,16250.48,4643.55
"5am","662",1074.13,860.67,3106.9,3347.33,1254.12
"5am","663",4445.55,3334.4,7783.22,7819.18,2887.48
"5am","671",4455.94,5910.51,10961.02,6371.75,1826.46
"5am","672",1455.38,1553.88,2883.29,2036.88,710.82
"5am","673",1566.61,1780.05,2611.64,2096.18,585.5
"5am","681",4143.71,4242.1,6382.85,4868.6,2120.62
"5am","691",6742.41,3996.14,7484.17,8165.04,4580.73
"6am","101",4603.52,4396.93,4930.17,7222.29,5970.24
"6am","102",9643.02,14373.32,8928.14,13683.88,13856.92
"6am","103",8368.57,11874.49,14926.64,16471.1,7230.19
"6am","104",9482.79,9748.93,10469.89,16101,10205.83
"6am","105",15218.23,21864.69,19383.51,17771.84,12807.46
"6am","106",9297.58,13791.28,14716.15,21993.64,16507.88
"6am","107",16826.95,26026.25,23922.43,25751.61,11947.29
"6am","108",18980.46,20839.25,21719.98,28843.54,16741.51
"6am","109",8813.2,13839.32,12032.11,9534.27,2950.82
"6am","110",12147.34,16025.7,16875.71,23378.92,10907.65
"6am","111",7177.56,15045.46,14609.16,14673.39,7167.62
"6am","112",12131.57,13548.38,17829.86,19953.03,8920.11
"6am","113",6688.04,6681.26,11049.65,11762.96,4807.83
"6am","114",9900.51,7401.21,12344.6,10492.58,5819.7
"6am","115",578.47,625.41,1497.84,1103.68,449.3
"6am","116",6840.34,5724.16,10032.05,9758.52,4932.75
"6am","117",13400.63,15106.64,17176.43,11727.45,3677.13
"6am","118",15460.03,18840.58,17823.18,10956.85,3058.9
"6am","119",18626.91,12171.39,21828,20300.28,13789.45
"6am","120",3294.41,1212.2,2002.99,3815.36,6019.24
"6am","121",3447.76,1410.44,2620.68,4376.01,6380.99
"6am","122",4368.54,899.09,1710.67,4316.99,5586.88
"6am","123",1456.67,621.78,1319.09,752.21,1665.34
"6am","124",7810.8,4801.42,5261.23,5561.15,3510.45
"6am","125",777.05,243.7,324.66,1019.9,1580.57
"6am","126",626.47,1202.2,870.52,1205.76,271.42
"6am","127",8510.5,10728.04,12498.64,14894.53,9378.83
"6am","128",12664.7,11028.63,18027.73,14193.78,6128.51
"6am","129",5911.57,5713.84,6069.19,9249.39,4836.22
"6am","130",4303.84,2371.47,5271.5,6697.27,4257.73
"6am","131",6819.99,1571.88,5281.75,8596.89,5534.77
"6am","132",8739.74,3289.94,10901.36,10988.66,5610.84
"6am","133",736.32,224.23,1256.63,1421.06,873.5
"6am","134",2411.96,619.88,2184.2,3870.46,2498.74
"6am","135",429.8,784.95,839.3,359.53,263.79
"6am","136",10291.47,6359.01,12842.3,13515.83,6889.77
"6am","137",5030.42,930.79,2947.09,4883.42,3947.81
